TEAM_ID,TEAM_NAME,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,PLAYER_NAMES,PTS_PER_MIN,AST_PER_MIN,TOV_PER_MIN,PACE
1610612754,Indiana Pacers,-1627783-1629614-1630643-1630679-1631097-,P. Siakam - A. Nembhard - J. Huff - E. Thompson - B. Mathurin,8,2,6,0.25,96.2,67,180,0.372,30,88,0.341,38,44,0.864,21,67,88,49,17.0,12,14,202,-16.0,"['P. Siakam', 'A. Nembhard', 'J. Huff', 'E. Thompson', 'B. Mathurin']",2.0997920997921,0.5093555093555093,0.1767151767151767,97.47692307692307
1610612738,Boston Celtics,-1627759-1628401-1629674-1630202-1631169-,J. Brown - D. White - N. Queta - P. Pritchard - J. Minott,12,7,5,0.583,96.195,86,187,0.46,20,71,0.282,30,35,0.857,27,65,92,52,24.0,23,15,222,1.0,"['J. Brown', 'D. White', 'N. Queta', 'P. Pritchard', 'J. Minott']",2.3078122563542807,0.5405686366235252,0.24949321690316548,99.4978949009824
1610612743,Denver Nuggets,-202685-203501-1627750-1628971-1631212-,J. Valančiūnas - T. Hardaway Jr. - J. Murray - B. Brown - P. Watson,17,13,4,0.765,95.953333,88,165,0.533,30,60,0.5,40,44,0.909,19,68,87,46,29.0,15,11,246,27.0,"['J. Valančiūnas', 'T. Hardaway Jr.', 'J. Murray', 'B. Brown', 'P. Watson']",2.5637462744519777,0.47939970985687386,0.30223025186629005,97.22726359072905
1610612759,San Antonio Spurs,-203084-1628368-1628436-1630170-1642264-,H. Barnes - D. Fox - L. Kornet - D. Vassell - S. Castle,15,12,3,0.8,95.535,96,194,0.495,37,89,0.416,31,39,0.795,21,71,92,60,20.0,16,6,260,20.0,"['H. Barnes', 'D. Fox', 'L. Kornet', 'D. Vassell', 'S. Castle']",2.7215156748835505,0.6280420788192809,0.20934735960642697,105.59145862772806
1610612754,Indiana Pacers,-1627783-1629614-1630174-1630643-1642277-,P. Siakam - A. Nembhard - A. Nesmith - J. Huff - J. Furphy,10,3,7,0.3,94.765,86,176,0.489,28,70,0.4,21,30,0.7,15,73,88,63,23.0,14,10,221,4.0,"['P. Siakam', 'A. Nembhard', 'A. Nesmith', 'J. Huff', 'J. Furphy']",2.3320846304015195,0.6648024059515644,0.24270564026803146,99.88497863135123
1610612743,Denver Nuggets,-203501-203999-1627750-1628971-1631128-,T. Hardaway Jr. - N. Jokić - J. Murray - B. Brown - C. Braun,17,8,9,0.471,94.47,83,175,0.474,22,75,0.293,48,62,0.774,23,71,94,50,22.0,9,6,236,29.0,"['T. Hardaway Jr.', 'N. Jokić', 'J. Murray', 'B. Brown', 'C. Braun']",2.4981475600719807,0.5292685508627077,0.2328781623795914,102.26992696093998
1610612746,Los Angeles Clippers,-201572-201935-202695-1627739-1628381-,B. Lopez - J. Harden - K. Leonard - K. Dunn - J. Collins,12,7,5,0.583,93.43,73,153,0.477,28,78,0.359,40,44,0.909,19,56,75,45,26.0,17,9,214,5.0,"['B. Lopez', 'J. Harden', 'K. Leonard', 'K. Dunn', 'J. Collins']",2.2904848549716363,0.48164401155945624,0.2782832066787969,92.14684790752435
1610612746,Los Angeles Clippers,-201572-202695-1627739-1627884-1629636-,B. Lopez - K. Leonard - K. Dunn - D. Jones Jr. - D. Garland,12,8,4,0.667,93.023333,94,173,0.543,41,80,0.513,29,32,0.906,14,61,75,52,20.0,24,8,258,48.0,"['B. Lopez', 'K. Leonard', 'K. Dunn', 'D. Jones Jr.', 'D. Garland']",2.7734976986902846,0.5589995361701349,0.21499982160389805,99.62919733267353
1610612750,Minnesota Timberwolves,-203497-1628978-1629675-1630162-1630183-,R. Gobert - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,34,22,12,0.647,92.266667,84,164,0.512,26,65,0.4,31,40,0.775,19,65,84,50,25.0,15,12,225,26.0,"['R. Gobert', 'D. DiVincenzo', 'N. Reid', 'A. Edwards', 'J. McDaniels']",2.4385838062189893,0.5419075124931088,0.2709537562465544,97.5953753699589
1610612742,Dallas Mavericks,-1629023-1629655-1630230-1631108-1642843-,P. Washington - D. Gafford - N. Marshall - M. Christie - C. Flagg,16,3,13,0.188,91.69,82,171,0.48,17,45,0.378,33,46,0.717,27,66,93,48,35.0,17,11,214,1.0,"['P. Washington', 'D. Gafford', 'N. Marshall', 'M. Christie', 'C. Flagg']",2.3339513578361872,0.5235031082997056,0.3817210164685353,104.30275929763334
